pressure fraction   pressure [df. units]M [Ms]              R [km]              
0.0001              8.3308e+32          0.180315            21.7525             
0.000100184         8.34616e+32         0.180365            21.7476             
0.000100369         8.36155e+32         0.180415            21.7427             
0.000100554         8.37697e+32         0.180463            21.7378             
0.00010074          8.39242e+32         0.18051             21.733              
0.000100925         8.40789e+32         0.180557            21.7283             
0.000101111         8.42339e+32         0.180603            21.7236             
0.000101298         8.43893e+32         0.180647            21.7189             
0.000101485         8.45449e+32         0.180691            21.7143             
0.000101672         8.47008e+32         0.180734            21.7097             
0.000101859         8.4857e+32          0.180776            21.7052             
0.000102047         8.50134e+32         0.180817            21.7007             
0.000102235         8.51702e+32         0.180856            21.6963             
0.000102424         8.53272e+32         0.180896            21.692              
0.000102613         8.54846e+32         0.180934            21.6876             
0.000102802         8.56422e+32         0.180971            21.6834             
0.000102991         8.58001e+32         0.181007            21.6791             
0.000103181         8.59583e+32         0.181042            21.675              
0.000103372         8.61168e+32         0.181077            21.6708             
0.000103562         8.62756e+32         0.18111             21.6667             
0.000103753         8.64347e+32         0.181143            21.6627             
0.000103945         8.65941e+32         0.181174            21.6587             
0.000104136         8.67538e+32         0.181205            21.6548             
0.000104328         8.69137e+32         0.181234            21.6509             
0.000104521         8.7074e+32          0.181263            21.6471             
0.000104713         8.72346e+32         0.181291            21.6433             
0.000104906         8.73954e+32         0.181318            21.6395             
0.0001051           8.75566e+32         0.181344            21.6358             
0.000105294         8.7718e+32          0.181369            21.6322             
0.000105488         8.78798e+32         0.181394            21.6286             
0.000105682         8.80418e+32         0.181417            21.625              
0.000105877         8.82041e+32         0.181439            21.6215             
0.000106072         8.83668e+32         0.181461            21.6181             
0.000106268         8.85297e+32         0.181482            21.6146             
0.000106464         8.8693e+32          0.181501            21.6113             
0.00010666          8.88565e+32         0.18152             21.608              
0.000106857         8.90204e+32         0.181538            21.6047             
0.000107054         8.91845e+32         0.181555            21.6015             
0.000107251         8.9349e+32          0.181571            21.5983             
0.000107449         8.95137e+32         0.181587            21.5952             
0.000107647         8.96788e+32         0.181601            21.5921             
