pressure_fraction   density_c[fm-3]     M[Ms]               R[km]               
0.0001              0.0823207           0.126818            22.5026             
0.000100184         0.0824448           0.126901            22.4878             
0.000100369         0.082569            0.126983            22.4732             
0.000100554         0.0826935           0.127065            22.4588             
0.00010074          0.0828182           0.127145            22.4445             
0.000100925         0.0829432           0.127225            22.4304             
0.000101111         0.0830683           0.127304            22.4164             
0.000101298         0.0831938           0.127382            22.4026             
0.000101485         0.0833194           0.12746             22.3889             
0.000101672         0.0834453           0.127536            22.3754             
0.000101859         0.0835714           0.127611            22.362              
0.000102047         0.0836977           0.127686            22.3488             
0.000102235         0.0838243           0.12776             22.3358             
0.000102424         0.0839511           0.127833            22.3228             
0.000102613         0.0840781           0.127904            22.3101             
0.000102802         0.0842054           0.127975            22.2974             
0.000102991         0.0843329           0.128046            22.285              
0.000103181         0.0844606           0.128115            22.2726             
0.000103372         0.0845886           0.128183            22.2605             
0.000103562         0.0847168           0.128251            22.2484             
0.000103753         0.0848453           0.128317            22.2365             
0.000103945         0.0849739           0.128383            22.2248             
0.000104136         0.0851029           0.128448            22.2132             
0.000104328         0.085232            0.128512            22.2017             
0.000104521         0.0853614           0.128575            22.1904             
0.000104713         0.0854911           0.128637            22.1792             
0.000104906         0.0856209           0.128698            22.1681             
0.0001051           0.0857511           0.128758            22.1572             
0.000105294         0.0858814           0.128817            22.1464             
0.000105488         0.086012            0.128876            22.1358             
0.000105682         0.0861428           0.128933            22.1253             
0.000105877         0.0862739           0.12899             22.1149             
0.000106072         0.0864052           0.129046            22.1047             
0.000106268         0.0865368           0.129101            22.0945             
0.000106464         0.0866686           0.129155            22.0846             
0.00010666          0.0868006           0.129208            22.0747             
0.000106857         0.0869329           0.12926             22.065              
0.000107054         0.0870655           0.129311            22.0554             
0.000107251         0.0871983           0.129361            22.046              
0.000107449         0.0873313           0.129411            22.0366             
0.000107647         0.0874645           0.12946             22.0275             
0.000107846         0.0875981           0.129507            22.0184             
0.000108045         0.0877318           0.129554            22.0094             
0.000108244         0.0878658           0.1296              22.0006             
0.000108443         0.0880001           0.129645            21.9919             
0.000108643         0.0881346           0.129689            21.9833             
0.000108844         0.0882693           0.129732            21.9749             
0.000109044         0.0884043           0.129775            21.9666             
0.000109245         0.0885396           0.129816            21.9584             
0.000109447         0.0886751           0.129857            21.9503             
0.000109649         0.0888108           0.129897            21.9423             
0.000109851         0.0889468           0.129936            21.9345             
0.000110053         0.0890831           0.129974            21.9267             
0.000110256         0.0892196           0.130011            21.9191             
0.00011046          0.0893563           0.130047            21.9116             
0.000110663         0.0894933           0.130083            21.9042             
0.000110867         0.0896306           0.130118            21.897              
0.000111072         0.0897681           0.130151            21.8898             
0.000111277         0.0899059           0.130184            21.8828             
0.000111482         0.0900191           0.130217            21.8758             
0.000111687         0.0900772           0.130248            21.869              
0.000111893         0.0901354           0.130279            21.8621             
0.0001121           0.0901937           0.13031             21.8553             
0.000112306         0.0902521           0.130341            21.8485             
0.000112514         0.0903106           0.130371            21.8417             
0.000112721         0.0903692           0.130401            21.835              
0.000112929         0.0904279           0.130431            21.8282             
0.000113137         0.0904868           0.13046             21.8215             
0.000113346         0.0905457           0.130489            21.8148             
0.000113555         0.0906048           0.130518            21.8081             
0.000113764         0.0906639           0.130547            21.8014             
0.000113974         0.0907232           0.130576            21.7947             
0.000114184         0.0907826           0.130604            21.788              
0.000114395         0.0908421           0.130632            21.7813             
0.000114605         0.0909017           0.13066             21.7747             
0.000114817         0.0909614           0.130688            21.768              
0.000115029         0.0910212           0.130716            21.7613             
0.000115241         0.0910812           0.130743            21.7547             
0.000115453         0.0911412           0.130771            21.748              
0.000115666         0.0912014           0.130798            21.7414             
0.000115879         0.0912616           0.130825            21.7347             
0.000116093         0.091322            0.130852            21.7281             
0.000116307         0.0913825           0.130879            21.7214             
